Season,TeamName,eFGPct,TOPct,ORPct,FTRate,eFGPctD,TOPctD,ORPctD,FTRateD
2019,Chattanooga,51.49164678,19.09403311,24.609375,24.22434368,52.93604651,15.395189,28.42842843,31.62790698
2019,Chicago St.,44.07407407,22.53679507,22.17973231,32.96296296,57.70065076,16.68003959,34.14634146,33.78524946
2019,Cincinnati,48.95936571,15.96396081,37.39565943,37.56194252,48.58212948,20.81875437,29.28942808,30.4975923
2019,Clemson,50.70005385,19.66998142,27.81278128,33.54873452,47.60237069,19.75740356,24.47434819,30.01077586
2019,Cleveland St.,51.52135752,18.48040657,26.31578947,31.65593915,51.62983425,16.84837066,33.02583026,34.03314917
2019,Coastal Carolina,51.8230563,19.53970231,32.67681289,39.41018767,51.01314348,18.00974799,28.64674868,42.33296824
2019,Colgate,55.9159315,19.33983391,30.19571295,28.38609237,50.66023362,17.82890938,27.06766917,28.2376841
2019,Colorado,51.03143418,19.02672517,30.66554339,37.18074656,48.38164251,17.39130435,23.61111111,31.06280193
2019,Colorado St.,54.39247005,17.01245055,23.86138614,31.88819167,53.04347826,16.08026148,27.09677419,29.45652174
2019,Columbia,51.51994934,17.97861675,24.32138979,22.35592147,52.08754209,18.89369605,27.15231788,38.11447811
2019,Connecticut,51.04645227,18.51711315,32.26079594,32.72077591,49.59261271,19.99154371,30.21201413,39.1634981
2019,Coppin St.,45.42966612,23.18038679,25.95296026,37.71209633,50.22233202,16.76700672,28.80952381,33.59683794
2019,Cornell,51.11464968,18.95138156,18.86010363,33.88535032,50.54192812,17.47080488,29.01056676,26.75413577
2019,Creighton,56.24052552,18.60407429,24.73591549,29.00454775,52.76394422,19.05884055,26.79022746,27.88844622
2019,Dartmouth,51.71232877,17.57524732,24.01700319,24.84433375,52.98507463,15.94401179,24.89035088,27.92288557
2019,Davidson,53.07523339,16.73630575,23.29916123,28.33607908,48.2936078,16.69045285,24.82993197,29.95666306
2019,Dayton,56.14868642,18.78786504,26.86868687,32.14086082,47.86192684,16.74570579,27.41535921,23.750644
2019,DePaul,52.70648623,18.83144503,32.66291231,36.0709286,53.23639775,17.74873361,25.57403009,30.90994371
2019,Delaware,53.25829384,17.2469601,24.2,31.22037915,52.83648498,14.90176439,28.82968601,28.58731924
2019,Delaware St.,40.04947774,18.96417212,27.76898734,25.50852117,52.38515901,18.86815099,31.61478599,39.22261484
