Year,Date,,Schl,Rk.,,Opp,Rk.,Outcome,,PTS,OPP,MOV,,OT
2018-19,2019-03-22,,Wisconsin,21,,Oregon,,L,,54,72,-18,,
2018-19,2019-03-22,,Utah State,25,,Washington,,L,,61,78,-17,,
2018-19,2019-03-22,,Washington,,,Utah State,25,W,,78,61,17,,
2018-19,2019-03-22,,Duke,1,,North Dakota State,,W,,85,62,23,,
2018-19,2019-03-22,,North Dakota State,,,Duke,1,L,,62,85,-23,,
2018-19,2019-03-22,,Georgia State,,,Houston,11,L,,55,84,-29,,
2018-19,2019-03-22,,Houston,11,,Georgia State,,W,,84,55,29,,
2018-19,2019-03-22,,Liberty,,,Mississippi State,,W,,80,76,4,,
2018-19,2019-03-22,,Mississippi State,,,Liberty,,L,,76,80,-4,,
2018-19,2019-03-22,,Iowa State,24,,Ohio State,,L,,59,62,-3,,
2018-19,2019-03-22,,Ohio State,,,Iowa State,24,W,,62,59,3,,
2018-19,2019-03-22,,Iona,,,North Carolina,3,L,,73,88,-15,,
2018-19,2019-03-22,,North Carolina,3,,Iona,,W,,88,73,15,,
2018-19,2019-03-22,,Central Florida,,,Virginia Commonwealth,,W,,73,58,15,,
2018-19,2019-03-22,,Virginia Commonwealth,,,Central Florida,,L,,58,73,-15,,
2018-19,2019-03-22,,Saint Louis,,,Virginia Tech,16,L,,52,66,-14,,
2018-19,2019-03-22,,Virginia Tech,16,,Saint Louis,,W,,66,52,14,,
2018-19,2019-03-21,,Louisiana State,12,,Yale,,W,,79,74,5,,
2018-19,2019-03-21,,Yale,,,Louisiana State,12,L,,74,79,-5,,
2018-19,2019-03-21,,Louisville,,,Minnesota,,L,,76,86,-10,,
2018-19,2019-03-21,,Minnesota,,,Louisville,,W,,86,76,10,,
2018-19,2019-03-21,,Auburn,14,,New Mexico State,,W,,78,77,1,,
2018-19,2019-03-21,,New Mexico State,,,Auburn,14,L,,77,78,-1,,
2018-19,2019-03-21,,Florida State,10,,Vermont,,W,,76,69,7,,
2018-19,2019-03-21,,Vermont,,,Florida State,10,L,,69,76,-7,,
2018-19,2019-03-21,,Bradley,,,Michigan State,5,L,,65,76,-11,,
2018-19,2019-03-21,,Michigan State,5,,Bradley,,W,,76,65,11,,
2018-19,2019-03-21,,Belmont,,,Maryland,,L,,77,79,-2,,
2018-19,2019-03-21,,Maryland,,,Belmont,,W,,79,77,2,,
2018-19,2019-03-21,,Kansas,17,,Northeastern,,W,,87,53,34,,
2018-19,2019-03-21,,Northeastern,,,Kansas,17,L,,53,87,-34,,
2018-19,2019-03-21,,Marquette,,,Murray State,,L,,64,83,-19,,
2018-19,2019-03-21,,Murray State,,,Marquette,,W,,83,64,19,,
2018-19,2019-03-21,,Florida,,,Nevada,20,W,,70,61,9,,
2018-19,2019-03-21,,Nevada,20,,Florida,,L,,61,70,-9,,
2018-19,2019-03-21,,Fairleigh Dickinson,,,Gonzaga,4,L,,49,87,-38,,
2018-19,2019-03-21,,Gonzaga,4,,Fairleigh Dickinson,,W,,87,49,38,,
2018-19,2019-03-21,,Abilene Christian,,,Kentucky,7,L,,44,79,-35,,
2018-19,2019-03-21,,Kentucky,7,,Abilene Christian,,W,,79,44,35,,
