Year,Date,,Schl,Rk.,,Opp,Rk.,Outcome,,PTS,OPP,MOV,,OT
2016-17,2017-03-17,,Dayton,,,Wichita State,19,L,,58,64,-6,,
2016-17,2017-03-17,,Wichita State,19,,Dayton,,W,,64,58,6,,
2016-17,2017-03-17,,Duke,7,,Troy,,W,,87,65,22,,
2016-17,2017-03-17,,Troy,,,Duke,7,L,,65,87,-22,,
2016-17,2017-03-17,,UC-Davis,,,Kansas,3,L,,62,100,-38,,
2016-17,2017-03-17,,Kansas,3,,UC-Davis,,W,,100,62,38,,
2016-17,2017-03-17,,Kentucky,5,,Northern Kentucky,,W,,79,70,9,,
2016-17,2017-03-17,,Northern Kentucky,,,Kentucky,5,L,,70,79,-9,,
2016-17,2017-03-17,,Jacksonville State,,,Louisville,10,L,,63,78,-15,,
2016-17,2017-03-17,,Louisville,10,,Jacksonville State,,W,,78,63,15,,
2016-17,2017-03-17,,Miami (FL),,,Michigan State,,L,,58,78,-20,,
2016-17,2017-03-17,,Michigan State,,,Miami (FL),,W,,78,58,20,,
2016-17,2017-03-17,,Michigan,23,,Oklahoma State,,W,,92,91,1,,
2016-17,2017-03-17,,Oklahoma State,,,Michigan,23,L,,91,92,-1,,
2016-17,2017-03-17,,North Carolina,6,,Texas Southern,,W,,103,64,39,,
2016-17,2017-03-17,,Texas Southern,,,North Carolina,6,L,,64,103,-39,,
2016-17,2017-03-17,,Iona,,,Oregon,9,L,,77,93,-16,,
2016-17,2017-03-17,,Oregon,9,,Iona,,W,,93,77,16,,
2016-17,2017-03-17,,Marquette,,,South Carolina,,L,,73,93,-20,,
2016-17,2017-03-17,,South Carolina,,,Marquette,,W,,93,73,20,,
2016-17,2017-03-17,,Southern California,,,Southern Methodist,11,W,,66,65,1,,
2016-17,2017-03-17,,Southern Methodist,11,,Southern California,,L,,65,66,-1,,
2016-17,2017-03-17,,Kent State,,,UCLA,8,L,,80,97,-17,,
2016-17,2017-03-17,,UCLA,8,,Kent State,,W,,97,80,17,,
2016-17,2017-03-16,,Arizona,4,,North Dakota,,W,,100,82,18,,
2016-17,2017-03-16,,North Dakota,,,Arizona,4,L,,82,100,-18,,
2016-17,2017-03-16,,Butler,21,,Winthrop,,W,,76,64,12,,
2016-17,2017-03-16,,Winthrop,,,Butler,21,L,,64,76,-12,,
2016-17,2017-03-16,,East Tennessee State,,,Florida,20,L,,65,80,-15,,
2016-17,2017-03-16,,Florida,20,,East Tennessee State,,W,,80,65,15,,
2016-17,2017-03-16,,Florida Gulf Coast,,,Florida State,16,L,,80,86,-6,,
2016-17,2017-03-16,,Florida State,16,,Florida Gulf Coast,,W,,86,80,6,,
2016-17,2017-03-16,,Gonzaga,2,,South Dakota State,,W,,66,46,20,,
2016-17,2017-03-16,,South Dakota State,,,Gonzaga,2,L,,46,66,-20,,
2016-17,2017-03-16,,Iowa State,16,,Nevada,,W,,84,73,11,,
2016-17,2017-03-16,,Nevada,,,Iowa State,16,L,,73,84,-11,,
2016-17,2017-03-16,,Maryland,,,Xavier,,L,,65,76,-11,,
2016-17,2017-03-16,,Xavier,,,Maryland,,W,,76,65,11,,
2016-17,2017-03-16,,Middle Tennessee,,,Minnesota,,W,,81,72,9,,
2016-17,2017-03-16,,Minnesota,,,Middle Tennessee,,L,,72,81,-9,,
2016-17,2017-03-16,,Northwestern,,,Vanderbilt,,W,,68,66,2,,
2016-17,2017-03-16,,Vanderbilt,,,Northwestern,,L,,66,68,-2,,
2016-17,2017-03-16,,Notre Dame,14,,Princeton,,W,,60,58,2,,
2016-17,2017-03-16,,Princeton,,,Notre Dame,14,L,,58,60,-2,,
2016-17,2017-03-16,,Purdue,15,,Vermont,,W,,80,70,10,,
2016-17,2017-03-16,,Vermont,,,Purdue,15,L,,70,80,-10,,
2016-17,2017-03-16,,Saint Mary's (CA),22,,Virginia Commonwealth,,W,,85,77,8,,
2016-17,2017-03-16,,Virginia Commonwealth,,,Saint Mary's (CA),22,L,,77,85,-8,,
2016-17,2017-03-16,,Mount St. Mary's,,,Villanova,1,L,,56,76,-20,,
2016-17,2017-03-16,,Villanova,1,,Mount St. Mary's,,W,,76,56,20,,
2016-17,2017-03-16,,North Carolina-Wilmington,,,Virginia,24,L,,71,76,-5,,
2016-17,2017-03-16,,Virginia,24,,North Carolina-Wilmington,,W,,76,71,5,,
2016-17,2017-03-16,,Bucknell,,,West Virginia,13,L,,80,86,-6,,
2016-17,2017-03-16,,West Virginia,13,,Bucknell,,W,,86,80,6,,
2016-17,2017-03-16,,Virginia Tech,,,Wisconsin,25,L,,74,84,-10,,
2016-17,2017-03-16,,Wisconsin,25,,Virginia Tech,,W,,84,74,10,,
2016-17,2017-03-15,,UC-Davis,,,North Carolina Central,,W,,67,63,4,,
2016-17,2017-03-15,,North Carolina Central,,,UC-Davis,,L,,63,67,-4,,
2016-17,2017-03-15,,Providence,,,Southern California,,L,,71,75,-4,,
2016-17,2017-03-15,,Southern California,,,Providence,,W,,75,71,4,,
2016-17,2017-03-14,,Kansas State,,,Wake Forest,,W,,95,88,7,,
2016-17,2017-03-14,,Wake Forest,,,Kansas State,,L,,88,95,-7,,
2016-17,2017-03-14,,Mount St. Mary's,,,New Orleans,,W,,67,66,1,,
2016-17,2017-03-14,,New Orleans,,,Mount St. Mary's,,L,,66,67,-1,,
2015-16,2016-04-04,,North Carolina,3,,Villanova,6,L,,74,77,-3,,
2015-16,2016-04-04,,Villanova,6,,North Carolina,3,W,,77,74,3,,
2015-16,2016-04-02,,North Carolina,3,,Syracuse,,W,,83,66,17,,
2015-16,2016-04-02,,Syracuse,,,North Carolina,3,L,,66,83,-17,,
2015-16,2016-04-02,,Oklahoma,7,,Villanova,6,L,,51,95,-44,,
2015-16,2016-04-02,,Villanova,6,,Oklahoma,7,W,,95,51,44,,
2015-16,2016-03-27,,North Carolina,3,,Notre Dame,,W,,88,74,14,,
2015-16,2016-03-27,,Notre Dame,,,North Carolina,3,L,,74,88,-14,,
2015-16,2016-03-27,,Syracuse,,,Virginia,4,W,,68,62,6,,
2015-16,2016-03-27,,Virginia,4,,Syracuse,,L,,62,68,-6,,
2015-16,2016-03-26,,Kansas,1,,Villanova,6,L,,59,64,-5,,
2015-16,2016-03-26,,Villanova,6,,Kansas,1,W,,64,59,5,,
2015-16,2016-03-26,,Oklahoma,7,,Oregon,5,W,,80,68,12,,
2015-16,2016-03-26,,Oregon,5,,Oklahoma,7,L,,68,80,-12,,
2015-16,2016-03-25,,Indiana,14,,North Carolina,3,L,,86,101,-15,,
2015-16,2016-03-25,,North Carolina,3,,Indiana,14,W,,101,86,15,,
2015-16,2016-03-25,,Notre Dame,,,Wisconsin,,W,,61,56,5,,
2015-16,2016-03-25,,Wisconsin,,,Notre Dame,,L,,56,61,-5,,
2015-16,2016-03-25,,Gonzaga,,,Syracuse,,L,,60,63,-3,,
2015-16,2016-03-25,,Syracuse,,,Gonzaga,,W,,63,60,3,,
2015-16,2016-03-25,,Iowa State,22,,Virginia,4,L,,71,84,-13,,
2015-16,2016-03-25,,Virginia,4,,Iowa State,22,W,,84,71,13,,
2015-16,2016-03-24,,Kansas,1,,Maryland,18,W,,79,63,16,,
2015-16,2016-03-24,,Maryland,18,,Kansas,1,L,,63,79,-16,,
2015-16,2016-03-24,,Oklahoma,7,,Texas A&M,15,W,,77,63,14,,
2015-16,2016-03-24,,Texas A&M,15,,Oklahoma,7,L,,63,77,-14,,
2015-16,2016-03-24,,Duke,19,,Oregon,5,L,,68,82,-14,,
2015-16,2016-03-24,,Oregon,5,,Duke,19,W,,82,68,14,,
2015-16,2016-03-24,,Miami (FL),10,,Villanova,6,L,,69,92,-23,,
2015-16,2016-03-24,,Villanova,6,,Miami (FL),10,W,,92,69,23,,
2015-16,2016-03-20,,Hawaii,,,Maryland,18,L,,60,73,-13,,
2015-16,2016-03-20,,Maryland,18,,Hawaii,,W,,73,60,13,,
2015-16,2016-03-20,,Notre Dame,,,Stephen F. Austin,,W,,76,75,1,,
2015-16,2016-03-20,,Stephen F. Austin,,,Notre Dame,,L,,75,76,-1,,
2015-16,2016-03-20,,Oklahoma,7,,Virginia Commonwealth,,W,,85,81,4,,
2015-16,2016-03-20,,Virginia Commonwealth,,,Oklahoma,7,L,,81,85,-4,,
2015-16,2016-03-20,,Oregon,5,,Saint Joseph's,,W,,69,64,5,,
2015-16,2016-03-20,,Saint Joseph's,,,Oregon,5,L,,64,69,-5,,
2015-16,2016-03-20,,Middle Tennessee,,,Syracuse,,L,,50,75,-25,,
2015-16,2016-03-20,,Syracuse,,,Middle Tennessee,,W,,75,50,25,,
2015-16,2016-03-20,,Northern Iowa,,,Texas A&M,15,L,,88,92,-4,,2
2015-16,2016-03-20,,Texas A&M,15,,Northern Iowa,,W,,92,88,4,,2
2015-16,2016-03-20,,Iowa,25,,Villanova,6,L,,68,87,-19,,
2015-16,2016-03-20,,Villanova,6,,Iowa,25,W,,87,68,19,,
2015-16,2016-03-20,,Wisconsin,,,Xavier,9,W,,66,63,3,,
2015-16,2016-03-20,,Xavier,9,,Wisconsin,,L,,63,66,-3,,
2015-16,2016-03-19,,Duke,19,,Yale,,W,,71,64,7,,
2015-16,2016-03-19,,Yale,,,Duke,19,L,,64,71,-7,,
2015-16,2016-03-19,,Little Rock,,,Iowa State,22,L,,61,78,-17,,
2015-16,2016-03-19,,Iowa State,22,,Little Rock,,W,,78,61,17,,
2015-16,2016-03-19,,Connecticut,,,Kansas,1,L,,61,73,-12,,
2015-16,2016-03-19,,Kansas,1,,Connecticut,,W,,73,61,12,,
2015-16,2016-03-19,,Indiana,14,,Kentucky,10,W,,73,67,6,,
2015-16,2016-03-19,,Kentucky,10,,Indiana,14,L,,67,73,-6,,
2015-16,2016-03-19,,Miami (FL),10,,Wichita State,,W,,65,57,8,,
2015-16,2016-03-19,,Wichita State,,,Miami (FL),10,L,,57,65,-8,,
2015-16,2016-03-19,,North Carolina,3,,Providence,,W,,85,66,19,,
2015-16,2016-03-19,,Providence,,,North Carolina,3,L,,66,85,-19,,
2015-16,2016-03-19,,Gonzaga,,,Utah,13,W,,82,59,23,,
2015-16,2016-03-19,,Utah,13,,Gonzaga,,L,,59,82,-23,,
2015-16,2016-03-19,,Butler,,,Virginia,4,L,,69,77,-8,,
2015-16,2016-03-19,,Virginia,4,,Butler,,W,,77,69,8,,
2015-16,2016-03-18,,University of California,23,,Hawaii,,L,,66,77,-11,,
2015-16,2016-03-18,,Hawaii,,,University of California,23,W,,77,66,11,,
2015-16,2016-03-18,,Dayton,,,Syracuse,,L,,51,70,-19,,
2015-16,2016-03-18,,Syracuse,,,Dayton,,W,,70,51,19,,
2015-16,2016-03-18,,Iowa,25,,Temple,,W,,72,70,2,,1
2015-16,2016-03-18,,Temple,,,Iowa,25,L,,70,72,-2,,1
2015-16,2016-03-18,,Maryland,18,,South Dakota State,,W,,79,74,5,,
2015-16,2016-03-18,,South Dakota State,,,Maryland,18,L,,74,79,-5,,
2015-16,2016-03-18,,Michigan State,2,,Middle Tennessee,,L,,81,90,-9,,
2015-16,2016-03-18,,Middle Tennessee,,,Michigan State,2,W,,90,81,9,,
2015-16,2016-03-18,,Michigan,,,Notre Dame,,L,,63,70,-7,,
2015-16,2016-03-18,,Notre Dame,,,Michigan,,W,,70,63,7,,
2015-16,2016-03-18,,Cal State Bakersfield,,,Oklahoma,7,L,,68,82,-14,,
2015-16,2016-03-18,,Oklahoma,7,,Cal State Bakersfield,,W,,82,68,14,,
2015-16,2016-03-18,,Holy Cross,,,Oregon,5,L,,52,91,-39,,
2015-16,2016-03-18,,Oregon,5,,Holy Cross,,W,,91,52,39,,
2015-16,2016-03-18,,Oregon State,,,Virginia Commonwealth,,L,,67,75,-8,,
2015-16,2016-03-18,,Virginia Commonwealth,,,Oregon State,,W,,75,67,8,,
2015-16,2016-03-18,,Cincinnati,,,Saint Joseph's,,L,,76,78,-2,,
2015-16,2016-03-18,,Saint Joseph's,,,Cincinnati,,W,,78,76,2,,
2015-16,2016-03-18,,Northern Iowa,,,Texas,,W,,75,72,3,,
2015-16,2016-03-18,,Texas,,,Northern Iowa,,L,,72,75,-3,,
2015-16,2016-03-18,,Green Bay,,,Texas A&M,15,L,,65,92,-27,,
2015-16,2016-03-18,,Texas A&M,15,,Green Bay,,W,,92,65,27,,
2015-16,2016-03-18,,North Carolina-Asheville,,,Villanova,6,L,,56,86,-30,,
2015-16,2016-03-18,,Villanova,6,,North Carolina-Asheville,,W,,86,56,30,,
2015-16,2016-03-18,,Stephen F. Austin,,,West Virginia,8,W,,70,56,14,,
2015-16,2016-03-18,,West Virginia,8,,Stephen F. Austin,,L,,56,70,-14,,
2015-16,2016-03-18,,Pittsburgh,,,Wisconsin,,L,,43,47,-4,,
2015-16,2016-03-18,,Wisconsin,,,Pittsburgh,,W,,47,43,4,,
2015-16,2016-03-18,,Weber State,,,Xavier,9,L,,53,71,-18,,
2015-16,2016-03-18,,Xavier,9,,Weber State,,W,,71,53,18,,
2015-16,2016-03-17,,Arizona,17,,Wichita State,,L,,55,65,-10,,
2015-16,2016-03-17,,Wichita State,,,Arizona,17,W,,65,55,10,,
2015-16,2016-03-17,,Baylor,21,,Yale,,L,,75,79,-4,,
2015-16,2016-03-17,,Yale,,,Baylor,21,W,,79,75,4,,
2015-16,2016-03-17,,Colorado,,,Connecticut,,L,,67,74,-7,,
2015-16,2016-03-17,,Connecticut,,,Colorado,,W,,74,67,7,,
2015-16,2016-03-17,,Duke,19,,North Carolina-Wilmington,,W,,93,85,8,,
2015-16,2016-03-17,,North Carolina-Wilmington,,,Duke,19,L,,85,93,-8,,
2015-16,2016-03-17,,Chattanooga,,,Indiana,14,L,,74,99,-25,,
2015-16,2016-03-17,,Indiana,14,,Chattanooga,,W,,99,74,25,,
2015-16,2016-03-17,,Iona,,,Iowa State,22,L,,81,94,-13,,
2015-16,2016-03-17,,Iowa State,22,,Iona,,W,,94,81,13,,
2015-16,2016-03-17,,Austin Peay,,,Kansas,1,L,,79,105,-26,,
2015-16,2016-03-17,,Kansas,1,,Austin Peay,,W,,105,79,26,,
2015-16,2016-03-17,,Kentucky,10,,Stony Brook,,W,,85,57,28,,
2015-16,2016-03-17,,Stony Brook,,,Kentucky,10,L,,57,85,-28,,
2015-16,2016-03-17,,Buffalo,,,Miami (FL),10,L,,72,79,-7,,
2015-16,2016-03-17,,Miami (FL),10,,Buffalo,,W,,79,72,7,,
2015-16,2016-03-17,,Florida Gulf Coast,,,North Carolina,3,L,,67,83,-16,,
2015-16,2016-03-17,,North Carolina,3,,Florida Gulf Coast,,W,,83,67,16,,
2015-16,2016-03-17,,Little Rock,,,Purdue,12,W,,85,83,2,,2
2015-16,2016-03-17,,Purdue,12,,Little Rock,,L,,83,85,-2,,2
2015-16,2016-03-17,,Gonzaga,,,Seton Hall,20,W,,68,52,16,,
2015-16,2016-03-17,,Seton Hall,20,,Gonzaga,,L,,52,68,-16,,
2015-16,2016-03-17,,Providence,,,Southern California,,W,,70,69,1,,
2015-16,2016-03-17,,Southern California,,,Providence,,L,,69,70,-1,,
2015-16,2016-03-17,,Butler,,,Texas Tech,,W,,71,61,10,,
2015-16,2016-03-17,,Texas Tech,,,Butler,,L,,61,71,-10,,
2015-16,2016-03-17,,Fresno State,,,Utah,13,L,,69,80,-11,,
2015-16,2016-03-17,,Utah,13,,Fresno State,,W,,80,69,11,,
2015-16,2016-03-17,,Hampton,,,Virginia,4,L,,45,81,-36,,
2015-16,2016-03-17,,Virginia,4,,Hampton,,W,,81,45,36,,
2015-16,2016-03-16,,Holy Cross,,,Southern,,W,,59,55,4,,
2015-16,2016-03-16,,Southern,,,Holy Cross,,L,,55,59,-4,,
2015-16,2016-03-16,,Michigan,,,Tulsa,,W,,67,62,5,,
2015-16,2016-03-16,,Tulsa,,,Michigan,,L,,62,67,-5,,
2015-16,2016-03-15,,Fairleigh Dickinson,,,Florida Gulf Coast,,L,,65,96,-31,,
2015-16,2016-03-15,,Florida Gulf Coast,,,Fairleigh Dickinson,,W,,96,65,31,,
2015-16,2016-03-15,,Vanderbilt,,,Wichita State,,L,,50,70,-20,,
2015-16,2016-03-15,,Wichita State,,,Vanderbilt,,W,,70,50,20,,
2014-15,2015-04-06,,Duke,4,,Wisconsin,3,W,,68,63,5,,
2014-15,2015-04-06,,Wisconsin,3,,Duke,4,L,,63,68,-5,,
2014-15,2015-04-04,,Duke,4,,Michigan State,23,W,,81,61,20,,
2014-15,2015-04-04,,Michigan State,23,,Duke,4,L,,61,81,-20,,
2014-15,2015-04-04,,Kentucky,1,,Wisconsin,3,L,,64,71,-7,,
2014-15,2015-04-04,,Wisconsin,3,,Kentucky,1,W,,71,64,7,,
2014-15,2015-03-29,,Duke,4,,Gonzaga,7,W,,66,52,14,,
2014-15,2015-03-29,,Gonzaga,7,,Duke,4,L,,52,66,-14,,
2014-15,2015-03-29,,Louisville,17,,Michigan State,23,L,,70,76,-6,,1
2014-15,2015-03-29,,Michigan State,23,,Louisville,17,W,,76,70,6,,1
2014-15,2015-03-28,,Arizona,5,,Wisconsin,3,L,,78,85,-7,,
2014-15,2015-03-28,,Wisconsin,3,,Arizona,5,W,,85,78,7,,
2014-15,2015-03-28,,Kentucky,1,,Notre Dame,8,W,,68,66,2,,
2014-15,2015-03-28,,Notre Dame,8,,Kentucky,1,L,,66,68,-2,,
2014-15,2015-03-27,,Duke,4,,Utah,19,W,,63,57,6,,
2014-15,2015-03-27,,Utah,19,,Duke,4,L,,57,63,-6,,
2014-15,2015-03-27,,Gonzaga,7,,UCLA,,W,,74,62,12,,
2014-15,2015-03-27,,UCLA,,,Gonzaga,7,L,,62,74,-12,,
2014-15,2015-03-27,,Louisville,17,,North Carolina State,,W,,75,65,10,,
2014-15,2015-03-27,,North Carolina State,,,Louisville,17,L,,65,75,-10,,
2014-15,2015-03-27,,Michigan State,23,,Oklahoma,13,W,,62,58,4,,
2014-15,2015-03-27,,Oklahoma,13,,Michigan State,23,L,,58,62,-4,,
2014-15,2015-03-26,,Arizona,5,,Xavier,,W,,68,60,8,,
2014-15,2015-03-26,,Xavier,,,Arizona,5,L,,60,68,-8,,
2014-15,2015-03-26,,Kentucky,1,,West Virginia,20,W,,78,39,39,,
2014-15,2015-03-26,,West Virginia,20,,Kentucky,1,L,,39,78,-39,,
2014-15,2015-03-26,,North Carolina,15,,Wisconsin,3,L,,72,79,-7,,
2014-15,2015-03-26,,Wisconsin,3,,North Carolina,15,W,,79,72,7,,
2014-15,2015-03-26,,Notre Dame,8,,Wichita State,14,W,,81,70,11,,
2014-15,2015-03-26,,Wichita State,14,,Notre Dame,8,L,,70,81,-11,,
2014-15,2015-03-22,,Dayton,,,Oklahoma,13,L,,66,72,-6,,
2014-15,2015-03-22,,Oklahoma,13,,Dayton,,W,,72,66,6,,
2014-15,2015-03-22,,Duke,4,,San Diego State,,W,,68,49,19,,
2014-15,2015-03-22,,San Diego State,,,Duke,4,L,,49,68,-19,,
2014-15,2015-03-22,,Gonzaga,7,,Iowa,,W,,87,68,19,,
2014-15,2015-03-22,,Iowa,,,Gonzaga,7,L,,68,87,-19,,
2014-15,2015-03-22,,Kansas,10,,Wichita State,14,L,,65,78,-13,,
2014-15,2015-03-22,,Wichita State,14,,Kansas,10,W,,78,65,13,,
2014-15,2015-03-22,,Louisville,17,,Northern Iowa,11,W,,66,53,13,,
2014-15,2015-03-22,,Northern Iowa,11,,Louisville,17,L,,53,66,-13,,
2014-15,2015-03-22,,Maryland,12,,West Virginia,20,L,,59,69,-10,,
2014-15,2015-03-22,,West Virginia,20,,Maryland,12,W,,69,59,10,,
2014-15,2015-03-22,,Michigan State,23,,Virginia,6,W,,60,54,6,,
2014-15,2015-03-22,,Virginia,6,,Michigan State,23,L,,54,60,-6,,
2014-15,2015-03-22,,Oregon,,,Wisconsin,3,L,,65,72,-7,,
2014-15,2015-03-22,,Wisconsin,3,,Oregon,,W,,72,65,7,,
2014-15,2015-03-21,,Alabama-Birmingham,,,UCLA,,L,,75,92,-17,,
2014-15,2015-03-21,,UCLA,,,Alabama-Birmingham,,W,,92,75,17,,
2014-15,2015-03-21,,Arizona,5,,Ohio State,,W,,73,58,15,,
2014-15,2015-03-21,,Ohio State,,,Arizona,5,L,,58,73,-15,,
2014-15,2015-03-21,,Arkansas,21,,North Carolina,15,L,,78,87,-9,,
2014-15,2015-03-21,,North Carolina,15,,Arkansas,21,W,,87,78,9,,
2014-15,2015-03-21,,Butler,24,,Notre Dame,8,L,,64,67,-3,,1
2014-15,2015-03-21,,Notre Dame,8,,Butler,24,W,,67,64,3,,1
2014-15,2015-03-21,,Cincinnati,,,Kentucky,1,L,,51,64,-13,,
2014-15,2015-03-21,,Kentucky,1,,Cincinnati,,W,,64,51,13,,
2014-15,2015-03-21,,Georgetown,22,,Utah,19,L,,64,75,-11,,
2014-15,2015-03-21,,Utah,19,,Georgetown,22,W,,75,64,11,,
2014-15,2015-03-21,,Georgia State,,,Xavier,,L,,67,75,-8,,
2014-15,2015-03-21,,Xavier,,,Georgia State,,W,,75,67,8,,
2014-15,2015-03-21,,North Carolina State,,,Villanova,2,W,,71,68,3,,
2014-15,2015-03-21,,Villanova,2,,North Carolina State,,L,,68,71,-3,,
2014-15,2015-03-20,,Albany (NY),,,Oklahoma,13,L,,60,69,-9,,
2014-15,2015-03-20,,Oklahoma,13,,Albany (NY),,W,,69,60,9,,
2014-15,2015-03-20,,Belmont,,,Virginia,6,L,,67,79,-12,,
2014-15,2015-03-20,,Virginia,6,,Belmont,,W,,79,67,12,,
2014-15,2015-03-20,,Buffalo,,,West Virginia,20,L,,62,68,-6,,
2014-15,2015-03-20,,West Virginia,20,,Buffalo,,W,,68,62,6,,
2014-15,2015-03-20,,UC-Irvine,,,Louisville,17,L,,55,57,-2,,
2014-15,2015-03-20,,Louisville,17,,UC-Irvine,,W,,57,55,2,,
2014-15,2015-03-20,,Coastal Carolina,,,Wisconsin,3,L,,72,86,-14,,
2014-15,2015-03-20,,Wisconsin,3,,Coastal Carolina,,W,,86,72,14,,
2014-15,2015-03-20,,Davidson,,,Iowa,,L,,52,83,-31,,
2014-15,2015-03-20,,Iowa,,,Davidson,,W,,83,52,31,,
2014-15,2015-03-20,,Dayton,,,Providence,,W,,66,53,13,,
2014-15,2015-03-20,,Providence,,,Dayton,,L,,53,66,-13,,
2014-15,2015-03-20,,Duke,4,,Robert Morris,,W,,85,56,29,,
2014-15,2015-03-20,,Robert Morris,,,Duke,4,L,,56,85,-29,,
2014-15,2015-03-20,,Georgia,,,Michigan State,23,L,,63,70,-7,,
2014-15,2015-03-20,,Michigan State,23,,Georgia,,W,,70,63,7,,
2014-15,2015-03-20,,Gonzaga,7,,North Dakota State,,W,,86,76,10,,
2014-15,2015-03-20,,North Dakota State,,,Gonzaga,7,L,,76,86,-10,,
2014-15,2015-03-20,,Indiana,,,Wichita State,14,L,,76,81,-5,,
2014-15,2015-03-20,,Wichita State,14,,Indiana,,W,,81,76,5,,
2014-15,2015-03-20,,Kansas,10,,New Mexico State,,W,,75,56,19,,
2014-15,2015-03-20,,New Mexico State,,,Kansas,10,L,,56,75,-19,,
2014-15,2015-03-20,,Maryland,12,,Valparaiso,,W,,65,62,3,,
2014-15,2015-03-20,,Valparaiso,,,Maryland,12,L,,62,65,-3,,
2014-15,2015-03-20,,Northern Iowa,11,,Wyoming,,W,,71,54,17,,
2014-15,2015-03-20,,Wyoming,,,Northern Iowa,11,L,,54,71,-17,,
2014-15,2015-03-20,,Oklahoma State,,,Oregon,,L,,73,79,-6,,
2014-15,2015-03-20,,Oregon,,,Oklahoma State,,W,,79,73,6,,
2014-15,2015-03-20,,San Diego State,,,St. John's (NY),,W,,76,64,12,,
2014-15,2015-03-20,,St. John's (NY),,,San Diego State,,L,,64,76,-12,,
2014-15,2015-03-19,,Alabama-Birmingham,,,Iowa State,9,W,,60,59,1,,
2014-15,2015-03-19,,Iowa State,9,,Alabama-Birmingham,,L,,59,60,-1,,
2014-15,2015-03-19,,Arizona,5,,Texas Southern,,W,,93,72,21,,
2014-15,2015-03-19,,Texas Southern,,,Arizona,5,L,,72,93,-21,,
2014-15,2015-03-19,,Arkansas,21,,Wofford,,W,,56,53,3,,
2014-15,2015-03-19,,Wofford,,,Arkansas,21,L,,53,56,-3,,
2014-15,2015-03-19,,Baylor,16,,Georgia State,,L,,56,57,-1,,
2014-15,2015-03-19,,Georgia State,,,Baylor,16,W,,57,56,1,,
2014-15,2015-03-19,,Butler,24,,Texas,,W,,56,48,8,,
2014-15,2015-03-19,,Texas,,,Butler,24,L,,48,56,-8,,
2014-15,2015-03-19,,Cincinnati,,,Purdue,,W,,66,65,1,,1
2014-15,2015-03-19,,Purdue,,,Cincinnati,,L,,65,66,-1,,1
2014-15,2015-03-19,,Eastern Washington,,,Georgetown,22,L,,74,84,-10,,
2014-15,2015-03-19,,Georgetown,22,,Eastern Washington,,W,,84,74,10,,
2014-15,2015-03-19,,Hampton,,,Kentucky,1,L,,56,79,-23,,
2014-15,2015-03-19,,Kentucky,1,,Hampton,,W,,79,56,23,,
2014-15,2015-03-19,,Harvard,,,North Carolina,15,L,,65,67,-2,,
2014-15,2015-03-19,,North Carolina,15,,Harvard,,W,,67,65,2,,
2014-15,2015-03-19,,Lafayette,,,Villanova,2,L,,52,93,-41,,
2014-15,2015-03-19,,Villanova,2,,Lafayette,,W,,93,52,41,,
2014-15,2015-03-19,,Louisiana State,,,North Carolina State,,L,,65,66,-1,,
2014-15,2015-03-19,,North Carolina State,,,Louisiana State,,W,,66,65,1,,
2014-15,2015-03-19,,Mississippi,,,Xavier,,L,,57,76,-19,,
2014-15,2015-03-19,,Xavier,,,Mississippi,,W,,76,57,19,,
2014-15,2015-03-19,,Northeastern,,,Notre Dame,8,L,,65,69,-4,,
2014-15,2015-03-19,,Notre Dame,8,,Northeastern,,W,,69,65,4,,
2014-15,2015-03-19,,Ohio State,,,Virginia Commonwealth,25,W,,75,72,3,,1
2014-15,2015-03-19,,Virginia Commonwealth,25,,Ohio State,,L,,72,75,-3,,1
2014-15,2015-03-19,,Southern Methodist,18,,UCLA,,L,,59,60,-1,,
2014-15,2015-03-19,,UCLA,,,Southern Methodist,18,W,,60,59,1,,
2014-15,2015-03-19,,Stephen F. Austin,,,Utah,19,L,,50,57,-7,,
2014-15,2015-03-19,,Utah,19,,Stephen F. Austin,,W,,57,50,7,,
2014-15,2015-03-18,,Boise State,,,Dayton,,L,,55,56,-1,,
2014-15,2015-03-18,,Dayton,,,Boise State,,W,,56,55,1,,
2014-15,2015-03-18,,North Florida,,,Robert Morris,,L,,77,81,-4,,
2014-15,2015-03-18,,Robert Morris,,,North Florida,,W,,81,77,4,,
2014-15,2015-03-17,,Brigham Young,,,Mississippi,,L,,90,94,-4,,
2014-15,2015-03-17,,Mississippi,,,Brigham Young,,W,,94,90,4,,
2014-15,2015-03-17,,Hampton,,,Manhattan,,W,,74,64,10,,
2014-15,2015-03-17,,Manhattan,,,Hampton,,L,,64,74,-10,,
2013-14,2014-04-07,,Connecticut,18,,Kentucky,,W,,60,54,6,,
2013-14,2014-04-07,,Kentucky,,,Connecticut,18,L,,54,60,-6,,
2013-14,2014-04-05,,Connecticut,18,,Florida,1,W,,63,53,10,,
2013-14,2014-04-05,,Florida,1,,Connecticut,18,L,,53,63,-10,,
2013-14,2014-04-05,,Kentucky,,,Wisconsin,12,W,,74,73,1,,
2013-14,2014-04-05,,Wisconsin,12,,Kentucky,,L,,73,74,-1,,
2013-14,2014-03-30,,Connecticut,18,,Michigan State,11,W,,60,54,6,,
2013-14,2014-03-30,,Michigan State,11,,Connecticut,18,L,,54,60,-6,,
2013-14,2014-03-30,,Kentucky,,,Michigan,7,W,,75,72,3,,
