Season,Date,School 1,School 2,Outcome,PTS,OPP,MOV,OT,eFGPct_1,TOPct_1,ORPct_1,FTRate_1,eFGPctD_1,TOPctD_1,ORPctD_1,FTRateD_1,eFGPct_2,TOPct_2,ORPct_2,FTRate_2,eFGPctD_2,TOPctD_2,ORPctD_2,FTRateD_2,AdjTempo_1,AdjOE_1,AdjDE_1,AdjEM_1,seed_1,AdjTempo_2,AdjOE_2,AdjDE_2,AdjEM_2,seed_2
2019,2019-03-28,Virginia,Oregon,W,53,49,4,,55.17996109,14.70667283,30.36649215,29.08560311,44.68671679,17.37279481,25.36398467,26.26566416,51.99905927,17.7263815,29.57860616,29.350893699999997,46.39861865,20.88751951,28.76712329,33.94178589,59.3365,123.693,88.0404,35.6526,1.0,64.1339,107.83200000000001,92.66799999999999,15.1644,12.0
2019,2019-03-24,Tennessee,Iowa,W,83,77,6,1.0,55.29709811,15.84408785,31.64983165,33.30262552,48.12382739,17.97770567,30.20231214,34.89681051,52.666999,17.1678154,29.83471074,42.32303091,51.49714829,18.33926633,29.36951317,28.80228137,67.7089,123.521,95.1912,28.33,2.0,69.4254,117.289,101.336,15.9537,10.0
2019,2019-03-24,North Carolina,Washington,W,81,59,22,,52.86307054,17.20760094,35.320088299999995,30.20746888,48.93238434,18.30362647,22.85513361,28.4252669,52.12167689,19.76365957,29.15224913,34.71370143,47.47191011,24.21048297,35.03289474,33.96322778,74.3542,120.02600000000001,90.8372,29.1883,1.0,65.9283,107.084,93.7514,13.3325,9.0
2019,2019-03-24,Duke,Central Florida,W,77,76,1,,53.59801489,17.51473768,35.601719200000005,33.20926385,44.98964803,19.38106219,29.51251647,23.97515528,52.94951787,17.64007718,29.50367647,45.26375496,45.43343653,18.04507895,29.60629921,29.15376677,72.2812,120.204,88.2449,31.9593,1.0,64.8462,110.45,95.8589,14.5908,9.0
2019,2019-03-24,Texas Tech,Buffalo,W,78,58,20,,53.48341232,17.75248491,27.49576988,32.89099526,43.04390725,22.76358021,28.62398823,36.6551554,53.34938704,15.87195349,31.86733958,32.70577933,47.34617191,20.34669701,27.01107011,31.89290747,66.6081,112.82600000000001,86.0594,26.7664,3.0,73.8244,115.006,94.6738,20.3325,6.0
2019,2019-03-24,Virginia,Oklahoma,W,63,51,12,,55.17996109,14.70667283,30.36649215,29.08560311,44.68671679,17.37279481,25.36398467,26.26566416,50.43037975,16.96663264,25.82001682,31.29113924,47.51908397,17.30511908,27.95779955,23.13931298,59.3365,123.693,88.0404,35.6526,1.0,68.7492,109.53200000000001,93.9849,15.5475,9.0
2019,2019-03-24,Virginia Tech,Liberty,W,67,58,9,,55.60526316,17.32756483,29.63311383,31.89473684,49.00323276,21.64843341,27.20070423,26.34698276,55.92178771,17.17048589,25.27918782,26.70391061,48.93063584,20.43661093,26.38376384,32.65895954,63.3196,118.551,94.0834,24.4675,4.0,61.8485,110.669,99.8723,10.7968,12.0
2019,2019-03-24,Houston,Ohio State,W,74,59,15,,52.13345438,16.50032196,34.36555891,31.63867453,42.53071253,18.19059884,25.95473833,37.2972973,50.28482651,18.73296458,27.586206899999997,33.66131538,48.31518922,18.17822986,25.87646077,31.77812338,66.2386,114.646,91.2253,23.4204,3.0,65.7436,109.375,94.3414,15.0331,11.0
2019,2019-03-24,Oregon,UC-Irvine,W,73,54,19,,51.99905927,17.7263815,29.57860616,29.350893699999997,46.39861865,20.88751951,28.76712329,33.94178589,51.30579297,17.47851599,33.68336026,28.72744539,44.05916586,16.64620571,27.05627706,32.92919496,64.1339,107.83200000000001,92.66799999999999,15.1644,12.0,65.1511,106.73,97.2616,9.46882,13.0
2019,2019-03-23,Louisiana State,Maryland,W,69,67,2,,51.15633673,17.92222821,36.76355067,37.09528215,49.90407674,20.09821618,30.75722092,33.14148681,51.41435306,19.31715834,34.11131059,32.84442116,45.93516209,14.05687953,24.842767300000002,26.63341646,69.9424,118.62,97.6208,20.9994,3.0,65.6956,113.946,93.96600000000001,19.9801,6.0
2019,2019-03-23,Kentucky,Wofford,W,62,56,6,,52.95121951,18.60752986,36.78357571,41.90243902,46.64948454,17.92871439,25.46816479,26.80412371,57.47516989,16.07223373,31.82711198,27.75744903,49.88655701,19.13143731,25.2173913,31.76403857,65.9094,118.35799999999999,90.8807,27.476999999999997,2.0,65.7033,118.48299999999999,97.7629,20.7206,7.0
2019,2019-03-23,Michigan,Florida,W,64,49,15,,51.59372027,13.94176409,24.67948718,27.54519505,44.06657019,17.9666186,24.82967449,24.07139411,49.75186104,17.85970563,30.66884176,29.92555831,48.09498956,22.40967826,32.23413026,33.61169102,64.652,115.71600000000001,86.0482,29.6683,2.0,62.7575,110.318,91.9997,18.3178,10.0
2019,2019-03-23,Florida State,Murray State,W,90,62,28,,50.48364809,18.9353667,32.84161491,35.83602027,47.24238026,20.32088134,26.998491700000002,35.65553943,54.81026189,17.22252752,32.03791469,33.51149118,46.51898734,19.3073598,30.65998329,27.42616034,68.3149,113.105,90.5492,22.5555,4.0,69.0814,112.132,98.84700000000001,13.2854,12.0
2019,2019-03-23,Gonzaga,Baylor,W,83,71,12,,58.97722197,14.9182384,31.53384747,35.32827155,44.17109929,18.96963817,26.77111717,25.88652482,51.1698881,19.67108274,37.91069924,32.29908444,49.11717496,18.56844357,29.391602399999996,36.49010166,69.8432,125.258,92.3982,32.8597,1.0,65.3193,113.646,98.3427,15.3036,9.0
2019,2019-03-23,Michigan State,Minnesota,W,70,50,20,,55.17937220000001,18.50105781,33.89694042,33.58744395,43.94449117,14.93594525,26.36594663,27.50210261,48.18538499,17.11618787,31.355932199999998,41.58901422,49.52539155,16.87108733,28.43601896,28.19174181,67.6316,121.681,90.5738,31.1072,2.0,67.5056,110.803,96.3335,14.4692,10.0
2019,2019-03-23,Purdue,Villanova,W,87,61,26,,53.58974359,15.83993764,34.50760608,29.88344988,48.99849775,18.62543848,26.972624800000002,31.74762143,53.19465082,16.85115167,30.28571429,34.42298167,50.39761431,18.03073229,27.732463300000003,28.18091451,65.6852,121.212,95.1747,26.0368,3.0,63.675,117.095,98.3195,18.7752,6.0
2019,2019-03-23,Kansas,Auburn,L,75,89,-14,,52.58458647,18.81601309,30.05595524,32.47180451,47.8191731,18.15375176,27.88184438,27.80554294,54.38745231,16.82116879,31.59399571,30.86053412,51.72496406,24.62175476,32.86494926,36.32007667,69.9998,112.885,92.1354,20.7494,4.0,67.5646,119.28299999999999,97.1706,22.112,5.0
2019,2019-03-22,Cincinnati,Iowa,L,72,79,-7,,48.95936571,15.96396081,37.39565943,37.56194252,48.58212948,20.81875437,29.28942808,30.4975923,52.666999,17.1678154,29.83471074,42.32303091,51.49714829,18.33926633,29.36951317,28.80228137,63.3006,111.171,95.0163,16.1545,7.0,69.4254,117.289,101.336,15.9537,10.0
2019,2019-03-22,Mississippi,Oklahoma,L,72,95,-23,,53.09548793,18.15563217,30.21515435,30.90241343,50.96308186,20.51237289,29.26186292,33.54735152,50.43037975,16.96663264,25.82001682,31.29113924,47.51908397,17.30511908,27.95779955,23.13931298,68.4026,112.85700000000001,97.8407,15.0161,8.0,68.7492,109.53200000000001,93.9849,15.5475,9.0
2019,2019-03-22,Texas Tech,Northern Kentucky,W,72,57,15,,53.48341232,17.75248491,27.49576988,32.89099526,43.04390725,22.76358021,28.62398823,36.6551554,54.578564,17.83709008,30.61946903,34.75546306,49.14392723,18.40128028,26.03806228,35.15248796,66.6081,112.82600000000001,86.0594,26.7664,3.0,67.9846,109.34100000000001,102.823,6.51829,14.0
2019,2019-03-22,Kansas State,UC-Irvine,L,64,70,-6,,49.3343983,17.43708778,28.53380158,30.56443024,48.2349537,22.82673309,25.69060773,30.72916667,51.30579297,17.47851599,33.68336026,28.72744539,44.05916586,16.64620571,27.05627706,32.92919496,63.1135,108.07700000000001,87.8459,20.2312,4.0,65.1511,106.73,97.2616,9.46882,13.0
2019,2019-03-22,Tennessee,Colgate,W,77,70,7,,55.29709811,15.84408785,31.64983165,33.30262552,48.12382739,17.97770567,30.20231214,34.89681051,55.91593149999999,19.33983391,30.19571295,28.38609237,50.66023362,17.82890938,27.06766917,28.237684100000003,67.7089,123.521,95.1912,28.33,2.0,66.4179,110.152,105.866,4.28609,15.0
2019,2019-03-22,Virginia,Gardner-Webb,W,71,56,15,,55.17996109,14.70667283,30.36649215,29.08560311,44.68671679,17.37279481,25.36398467,26.26566416,54.75512528,17.02785511,22.42063492,38.32574032,50.46343975,18.23772902,31.25,27.60041195,59.3365,123.693,88.0404,35.6526,1.0,67.1554,107.59700000000001,108.34299999999999,-0.74626,16.0
2019,2019-03-22,Buffalo,Arizona State,W,91,74,17,,53.34938704,15.87195349,31.86733958,32.70577933,47.34617191,20.34669701,27.01107011,31.89290747,50.64612326,18.65641765,31.69960474,43.83697813,48.53014449,18.9766995,26.94980695,38.56502242,73.8244,115.006,94.6738,20.3325,6.0,70.56,109.88600000000001,98.6844,11.2014,11.0
2019,2019-03-22,Wisconsin,Oregon,L,54,72,-18,,51.1311054,14.61952464,24.50558899,27.30077121,45.20512821,17.20468449,26.451612899999997,25.79487179,51.99905927,17.7263815,29.57860616,29.350893699999997,46.39861865,20.88751951,28.76712329,33.94178589,63.661,110.931,87.2639,23.6667,5.0,64.1339,107.83200000000001,92.66799999999999,15.1644,12.0
